board,qualification,subject,spec_slug,series,paper_ref,variant,material_type,source_page_url,source_file_url,expected_identity,status
pearson-edexcel,international-a-level,chemistry,wch16,2023-06,WCH16-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-6/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-6/QP/June 2023 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH16/01 June 2023 question paper [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2023-10,WCH11-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/MS/October 2023 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 October 2023 mark scheme [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2023-10,WCH11-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/QP/October 2023 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 October 2023 question paper [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2023-10,WCH12-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/MS/October 2023 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 October 2023 mark scheme [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2023-10,WCH12-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/QP/October 2023 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 October 2023 question paper [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2023-10,WCH13-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/MS/October 2023 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 October 2023 mark scheme [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2023-10,WCH13-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/QP/October 2023 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 October 2023 question paper [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch14,2023-10,WCH14-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-4/MS/October 2023 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH14/01 October 2023 mark scheme [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch14,2023-10,WCH14-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-4/QP/October 2023 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH14/01 October 2023 question paper [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch15,2023-10,WCH15-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-5/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-5/MS/October 2023 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH15/01 October 2023 mark scheme [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch15,2023-10,WCH15-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-5/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-5/QP/October 2023 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH15/01 October 2023 question paper [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch16,2023-10,WCH16-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-6/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-6/QP/October 2023 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH16/01 October 2023 question paper [PMT label: October = IAL session],fetched
pearson-edexcel,international-a-level,chemistry,wch11,2024-01,WCH11-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/MS/January 2024 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 January 2024 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2024-01,WCH11-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/QP/January 2024 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 January 2024 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2024-01,WCH12-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/MS/January 2024 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 January 2024 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2024-01,WCH12-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/QP/January 2024 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 January 2024 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2024-01,WCH13-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/MS/January 2024 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 January 2024 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2024-01,WCH13-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/QP/January 2024 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 January 2024 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch14,2024-01,WCH14-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-4/MS/January 2024 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH14/01 January 2024 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch14,2024-01,WCH14-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-4/QP/January 2024 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH14/01 January 2024 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch15,2024-01,WCH15-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-5/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-5/MS/January 2024 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH15/01 January 2024 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch15,2024-01,WCH15-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-5/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-5/QP/January 2024 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH15/01 January 2024 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch16,2024-01,WCH16-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-6/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-6/MS/January 2024 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH16/01 January 2024 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch16,2024-01,WCH16-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-6/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-6/QP/January 2024 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH16/01 January 2024 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2024-06,WCH11-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/MS/June 2024 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 June 2024 mark scheme [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2024-06,WCH11-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/QP/June 2024 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 June 2024 question paper [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2024-06,WCH12-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/MS/June 2024 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 June 2024 mark scheme [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2024-06,WCH12-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/QP/June 2024 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 June 2024 question paper [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2024-06,WCH13-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/MS/June 2024 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 June 2024 mark scheme [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2024-06,WCH13-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/QP/June 2024 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 June 2024 question paper [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch14,2024-06,WCH14-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-4/MS/June 2024 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH14/01 June 2024 mark scheme [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch14,2024-06,WCH14-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-4/QP/June 2024 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH14/01 June 2024 question paper [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch15,2024-06,WCH15-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-5/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-5/MS/June 2024 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH15/01 June 2024 mark scheme [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch15,2024-06,WCH15-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-5/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-5/QP/June 2024 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH15/01 June 2024 question paper [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch16,2024-06,WCH16-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-6/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-6/MS/June 2024 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH16/01 June 2024 mark scheme [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch16,2024-06,WCH16-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-6/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-6/QP/June 2024 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH16/01 June 2024 question paper [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2024-10,WCH11-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/MS/October 2024 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 October 2024 mark scheme [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2024-10,WCH11-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/QP/October 2024 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 October 2024 question paper [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2024-10,WCH12-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/MS/October 2024 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 October 2024 mark scheme [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2024-10,WCH12-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/QP/October 2024 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 October 2024 question paper [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2024-10,WCH13-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/MS/October 2024 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 October 2024 mark scheme [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2024-10,WCH13-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/QP/October 2024 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 October 2024 question paper [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch14,2024-10,WCH14-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-4/MS/October 2024 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH14/01 October 2024 mark scheme [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch14,2024-10,WCH14-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-4/QP/October 2024 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH14/01 October 2024 question paper [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch15,2024-10,WCH15-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-5/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-5/MS/October 2024 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH15/01 October 2024 mark scheme [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch15,2024-10,WCH15-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-5/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-5/QP/October 2024 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH15/01 October 2024 question paper [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch16,2024-10,WCH16-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-6/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-6/MS/October 2024 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH16/01 October 2024 mark scheme [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch16,2024-10,WCH16-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-6/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-6/QP/October 2024 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH16/01 October 2024 question paper [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2025-01,WCH11-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/MS/January 2025 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 January 2025 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2025-01,WCH11-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/QP/January 2025 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 January 2025 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2025-01,WCH12-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/MS/January 2025 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 January 2025 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2025-01,WCH12-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/QP/January 2025 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 January 2025 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2025-01,WCH13-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/MS/January 2025 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 January 2025 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2025-01,WCH13-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/QP/January 2025 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 January 2025 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch14,2025-01,WCH14-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-4/MS/January 2025 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH14/01 January 2025 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch14,2025-01,WCH14-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-4/QP/January 2025 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH14/01 January 2025 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch15,2025-01,WCH15-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-5/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-5/MS/January 2025 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH15/01 January 2025 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch15,2025-01,WCH15-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-5/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-5/QP/January 2025 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH15/01 January 2025 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch16,2025-01,WCH16-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-6/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-6/MS/January 2025 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH16/01 January 2025 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch16,2025-01,WCH16-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-6/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-6/QP/January 2025 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH16/01 January 2025 question paper [PMT label: January = IAL session],normalized
